33.59373739,-117.4663198,San Juan Creek,0,
33.59723541,-117.4624711,San Juan Creek,0,
33.59932446,-117.4613926,San Juan Creek,0,
33.63191511,-117.8487334,Bonita Creek,0,
33.64761492,-117.7941178,Sand Canyon Wash,0,
33.65092945,-117.8666053,San Diego Creek,1,
33.66053771,-117.8402028,San Diego Creek,1,
33.67400235,-117.532191,Arroyo Trabuco,0,
33.67449835,-117.5450584,Arroyo Trabuco,0,
33.67525734,-117.5191066,Arroyo Trabuco,0,
33.67577312,-117.2733324,San Jacinto River,0,
33.68033214,-117.5174552,Holy Jim Creek,0,
33.68290168,-117.5159874,Holy Jim Creek,0,
33.68294249,-117.515964,Holy Jim Creek,0,
33.68304747,-117.5159037,Holy Jim Creek,0,
33.68405206,-117.5152152,Holy Jim Creek,0,
33.68466099,-117.5147107,Holy Jim Creek,0,
33.68824317,-117.5126738,Holy Jim Creek,0,
33.6889201,-117.5119557,Holy Jim Creek,0,
33.68904218,-117.5118924,Holy Jim Creek,0,
33.69041139,-117.5116663,Bear Springs Creek,0,
33.69069352,-117.5117437,Holy Jim Creek,0,
33.69087719,-117.5117736,Holy Jim Creek,0,
33.69110232,-117.5117835,Holy Jim Creek,0,
33.69149753,-117.5116608,Holy Jim Creek,0,
33.69159538,-117.5116304,Holy Jim Creek,0,
33.69229567,-117.5120827,Holy Jim Creek,1,
33.69241135,-117.5123187,Holy Jim Creek,0,
33.6925865,-117.5126759,Holy Jim Creek,0,
33.69289438,-117.5131379,Holy Jim Creek,0,
33.69300949,-117.5133054,Holy Jim Creek,1,
33.69341048,-117.5141977,Holy Jim Creek,0,
33.75015201,-117.4457552,Temescal Wash,0,
33.75139354,-117.5711317,Silverado Creek,0,
33.75194156,-117.5753998,Silverado Creek,0,
33.75195069,-117.5705254,Silverado Creek,0,
33.78650868,-117.7274728,Santiago Creek,0,
33.78764496,-118.091396,Los Alamitos Channel,1,
33.81503902,-117.7650516,Santiago Creek,0,
33.83472354,-118.0607158,Moody Creek,0,
33.89057754,-117.6447986,Santa Ana River,0,
33.89084756,-117.926119,Brea Creek,0,
33.8967175,-117.8863425,Fullerton Creek,0,
33.91494367,-117.8416535,Carbon Canyon Creek,0,
34.46904957,-119.7701062,San Antonio Creek,3,
34.02565289,-118.8138413,Zuma Canyon,1,
34.30345536,-118.4088471,Pacoima Wash,0,
34.42536724,-119.3007949,Ventura River,1,
34.43373594,-119.7493753,Arroyo Burro,0,
34.44536489,-119.2309107,Ayers Creek,0,
